Empire,Start year,End year,Duration (years)
Abbasid Caliphate,750,1258,508
Aceh Sultanate,1496,1903,407
Achaemenid Empire,550 BC,330 BC,220
Afsharid dynasty,1736,1796,60
Aghlabid Emirate,800,909,109
Ahom Dynasty,1228,1838,610
Ajuran Sultanate,1312,1786,474
Akkadian Empire,2334 BC,2154 BC,180
Neo-Sumerian Empire (Third Dynasty of Ur),2112 BC,2004 BC,108
Aksumite Empire,150,940,790
Akwamu,1505,1867,362
Alaouite dynasty,1631,Present,390
Almohad Caliphate,1121,1269,148
Almoravid dynasty,1040,1147,107
Angevin Empire,1154,1242,88
Aq Qoyunlu,1378,1503,125
Armenian Empire,190 BC,428,618
Middle Assyrian Empire,1363 BC,911 BC,452
Neo-Assyrian Empire,911 BC,609 BC,302
Ashanti Empire,1670,1896,226
Austrian Empire,1804,1867,63
Austria-Hungary,1867,1918,51
Ayyubid dynasty,1171,1260,89
Aztec Empire,1428,1521,93
Aulikara Empire,528,550,22
Babylonian Empire,1792 BC[1][2],626 BC,1166
Neo-Babylonian Empire,626 BC,539 BC,87
Baduspanid dynasty,665,1598,933
Balhae,698,926,228
Banten Sultanate,1526,1813,287
Bavand dynasty,651,1349,698
Sultanate of Banjar,1520,1905,385
Bamana Empire,1712,1861,149
Belgian colonial empire,1901,1962,61
Bengal Sultanate,1352,1576,224
Benin Empire,1440,1897,457
Bornu Empire,1387,1893,506
Empire of Brazil,1822,1889,67
Britannic Empire,286,296,10
British Empire,1603,1997,394
British Raj,1858,1947,89
Bruneian Empire,1368,1888,520
Bukhara Empire,1506,1785,279
Bulgarian Empire (Great Bulgaria),632,668,36
Bulgarian Empire (first),680,1018,338
Bulgarian Empire (second),1185,1422,237
Burgundian State,1364,1477,113
Buyid dynasty,934,1055,121
Caliphate of Córdoba,756,1031,275
Cao Wei,220,265,45
Carthaginian Empire,814 BC,146 BC,668
Cebu Rajahnate,1279,1565,286
Central African Empire,1976,1979,3
Chagatai Khanate,1225,1687,462
Chalukya dynasty,543,753,210
Chauhan dynasty,800,1200,400
Chavín Empire,900 BC,200 BC,700
Chenla,550,802,252
Chera dynasty,400 BC,1729,2129
Chola empire,400 BC,1279,1678
Comanche Empire,1750,1850,100
Commonwealth of England,1649,1660,11
Congo Free State,1885,1908,23
Crimean Khanate,1441,1783,342
Dacian Empire,168 BC,106,274
Danish colonial empire,1536,1953,417
Delhi Sultanate,1206,1527,321
Demak Sultanate,1475,1568,93
Durrani Empire,1747,1823,76
Dutch Empire,1568,1975,407
Eastern Chalukya Empire,624,1189,565
Egyptian Empire,1550 BC,1077 BC,473
Elamite Empire,1210 BC,1100 BC,110
Exarchate of Africa,585,698,113
Abyssinia,1137,1974,837
Fatimid Caliphate,909,1171,262
First French Empire,1804,1815,11
Second French Empire,1852,1870,18
French colonial empire,1534,1980,446
Frankish Empire,800,843,43
Funan,50,550,500
Gallic Empire,260,274,14
Gaza Empire,1824,1895,71
Republic of Genoa,1096,1797,701
German Empire,1871,1918,47
Ghana Empire,300,1240,940
Ghaznavid dynasty,963,1187,224
Ghurid dynasty,1148,1215,67
Goguryeo,37 BC,668,705
Goryeo,918,1392,474
Gorkha Empire,1600,1850,250
Göktürk Khaganate,551,744,193
Golden Horde,1240,1502,262
Sultanate of Gowa,1300,1945,645
Empire of Great Fulo,1514,1776,262
Great Moravian Empire,833,900,67
Gurjara-Pratihara dynasty,600,1136,536
Gupta Empire,320,550,230
Hafsid Kingdom,1228,1574,346
Han dynasty,206 BC,220,426
Hanseatic League,1356,1648,292
Empire of Harsha,606,647,41
Hephthalite Empire,420,567,147
Hittite Empire,1460 BC,1180 BC,280
Holy Roman Empire,962,1806,844
Hotak dynasty,1709,1738,29
Hoysala Empire,1026,1343,317
Hunnic Empire,370,469,99
Husainid dynasty,1705,1957,252
